
=== p10: 200/192 B (392 B round trip) — bridge 'cgpb' (mean +24.96 B on request, +6.37% of round trip, CV_size=0.11) ===
 offered   ctl_mean   brg_mean           Δmean%            Δp99%             Δsd%     Δach%   n
    2000      0.596      0.621     +4.29%±5.60      +8.81%±8.63     +20.63%±25.57    -0.26%   2
    4000      0.555      0.554     -0.25%±1.39      -0.86%±1.22      -0.08%±4.71     -0.13%   2
    6000      0.544      0.542     -0.18%±0.00      -3.89%±4.17      +4.86%±21.42    +0.00%   2
    8000      0.532      0.529     -0.45%±1.99      -0.87%±5.31      -0.17%±7.36     -0.01%   2
   10000      0.522      0.520     -0.38%±1.35      +1.49%±0.69     -11.40%±21.87    -0.12%   2
   12000      0.533      0.536     +0.67%±2.00      +2.02%±2.86      +4.24%±9.19     -0.13%   2
   14000      0.558      0.547     -1.96%±2.51      -4.52%±5.07     -21.09%±10.00    +0.37%   2
   16000      0.570      0.571     +0.09%±0.37      -1.36%±0.65      -1.04%±0.53     -0.00%   2
   18000      0.599      0.605     +0.92%±0.11      +5.81%±0.10     +13.07%±8.88     +0.00%   2
   20000      0.627      0.633     +0.96%±0.22      +2.71%±1.70      +3.22%±2.98     -0.26%   2
   22000      0.671      0.667     -0.59%±0.62      -2.01%±0.92     -16.75%±11.55    +0.00%   2
   24000      0.709      0.712     +0.47%±2.81      +1.08%±5.87      +7.53%±1.94     -0.00%   2
   26000      0.740      0.733     -1.01%±1.04      -0.86%±4.61      +0.33%±7.88     -0.25%   2
   28000      0.805      0.812     +0.89%±3.00      +0.26%±0.37      -5.71%±9.60     +0.25%   2
   30000      0.855      0.853     -0.18%±0.58      -1.00%±2.79      +1.60%±9.90     +0.13%   2
   32000      0.911      0.899     -1.28%±2.92      -0.00%±0.65      +4.97%±9.56     -0.13%   2
   34000      0.941      0.935     -0.55%±3.07      -1.73%±2.45      -2.08%±3.77     +0.13%   2
   36000      0.991      0.986     -0.45%±0.78      -0.79%±4.04      -7.24%±10.24    +0.00%   2
   38000      1.045      1.022     -2.20%±0.65      -0.55%±2.46      -1.59%±1.54     -0.13%   2
   40000      1.108      1.089     -1.72%±0.43      -3.99%±0.98      -9.02%±4.00     -0.00%   2
   42000      1.126      1.166     +3.61%±4.37      +8.68%±5.14     +11.95%±5.53     -0.00%   2
   44000      1.225      1.274     +3.95%±0.47      +7.43%±0.58     +10.08%±1.36     -0.12%   2
   46000      1.322      1.369     +3.58%±1.60      +9.69%±4.68     +11.68%±7.68     -0.25%   2
   48000      1.695      1.538     -4.58%±27.95     -6.93%±69.87     -2.56%±72.66    +0.25%   2
   50000      1.985      2.120     +6.83%±0.01     +38.17%±1.77     +25.18%±2.76     -0.00%   2
   52000      3.978      6.081    +36.06%±44.60    +51.15%±75.66    +57.34%±77.71    -0.01%   2
   54000     51.086    123.366    +78.93%±93.39    +61.62%±103.58   +104.20%±155.22    -0.60%   2
   56000    361.516    467.376    +46.50%±25.05    +44.44%±21.74    +50.71%±20.95    -0.86%   2
   58000    734.861    889.300    +28.34%±13.86    +35.67%±24.17    +47.18%±44.74    -0.91%   2
   60000    853.458    881.927     +3.34%±0.00      +8.13%±0.00     +24.76%±0.00     -1.02%   1
