phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem	col_cpu	col_mem
44m	65Mi
running	424s	3208m	190Mi	6437m	12323Mi	49m	64Mi
53m	56Mi
61m	66Mi
47m	62Mi
53m	65Mi
42m	65Mi
150m	82Mi
73m	72Mi
40m	65Mi
running	435s	3208m	190Mi	6437m	12323Mi	49m	64Mi
53m	56Mi
61m	66Mi
47m	62Mi
53m	65Mi
42m	65Mi
150m	82Mi
73m	72Mi
40m	65Mi
running	445s	3298m	348Mi	5739m	12820Mi	44m	64Mi
45m	56Mi
60m	66Mi
43m	62Mi
52m	66Mi
44m	65Mi
159m	79Mi
78m	76Mi
44m	65Mi
running	455s	1415m	140Mi	2167m	13019Mi	25m	63Mi
22m	56Mi
29m	66Mi
24m	63Mi
22m	66Mi
20m	65Mi
62m	81Mi
31m	76Mi
21m	65Mi
running	466s	1415m	140Mi	2167m	13019Mi	25m	63Mi
22m	56Mi
29m	66Mi
24m	63Mi
22m	66Mi
20m	65Mi
62m	81Mi
31m	76Mi
21m	65Mi
